"Source:","/Users/bmoren/Desktop/module development/nearness-master/nearness_att/pcb/nearness.sch"
"Date:","Wednesday, June 27, 2018 at 08:16:27 AM"
"Tool:","Eeschema (5.0.0-rc2-47-g52fceb3)"
"Generator:","/private/var/folders/fh/bd0h7kx1015c__2l59y4f1g40000gp/T/AppTranslocation/2CC4E22D-46EE-4DF7-97BE-BB20CBD617AF/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","59"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","22p","C","modular:C_0805_HandSoldering_TopLabel","Unpolarized capacitor",""
"C3, C4, ","2","22u","C","modular:C_0805_HandSoldering_TopLabel","Unpolarized capacitor",""
"C5, C6, C7, C8, ","4","100n","C","modular:C_0805_HandSoldering_TopLabel","Unpolarized capacitor",""
"D1, D2, ","2","1N5819HW","D","Diodes_SMD:D_SOD-123","Diode",""
"J2, J3, J4, J5, J6, J7, J8, J1, J9, ","9","PJ301M12","PJ301M12","modular:Thonkiconn_small_holes","""Thonkiconn"" switching mono phone jack",""
"J10, ","1","Conn_02x05_Odd_Even","Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",""
"J11, J12, ","2","Conn_01x05","Conn_01x05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","Generic connector, single row, 01x05",""
"J13, J14, ","2","Conn_01x05","Conn_01x05","Socket_Strips:Socket_Strip_Straight_1x05_Pitch2.54mm","Generic connector, single row, 01x05",""
"P5, P6, ","2","CONN_01X03","CONN_01X03-RESCUE-nearness","Pin_Headers:Pin_Header_Angled_1x03_Pitch2.54mm","",""
"R1, R14, R15, R19, R21, R17, R20, R22, R16, R18, ","10","100k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R2, R13, ","2","1M67","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R3, R12, ","2","103k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R4, R11, ","2","439k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R5, R10, ","2","113k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R6, R9, ","2","215k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R7, R8, ","2","141k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"R23, R24, ","2","1k","R","modular:R_0805_HandSoldering_TopLabel","Resistor",""
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, ","7","POT","POT","modular:tall_trimmer_pot_9mm","Potentiometer",""
"U1, U2, ","2","LME49720","LME49720","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
